account_id,npi,month,territory,district,region,specialty,payer_channel,referrals_in,active_referrers
HCP0001,9999000001,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,1,1
HCP0002,9999000002,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,1,1
HCP0003,9999000003,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,1,1
HCP0004,9999000004,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,0,0
HCP0006,9999000006,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,0,0
HCP0007,9999000007,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,1,1
HCP0008,9999000008,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,0,0
HCP0009,9999000009,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,1,1
HCP0011,9999000011,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,1,1
HCP0012,9999000012,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,2,2
HCP0013,9999000013,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,0,0
HCP0014,9999000014,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,0,0
HCP0016,9999000016,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,1,1
HCP0017,9999000017,2024-07,N-PCP-01,North District 1,North,Primary Care,Commercial,1,1
HCP0018,9999000018,2024-07,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,0,0
HCP0019,9999000019,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,2,2
HCP0021,9999000021,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,2,2
HCP0022,9999000022,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,1,1
HCP0023,9999000023,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,0,0
HCP0024,9999000024,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,1,1
HCP0026,9999000026,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,1,1
HCP0027,9999000027,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,3,2
HCP0028,9999000028,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,0,0
HCP0029,9999000029,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,0,0
HCP0031,9999000031,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,3,2
HCP0032,9999000032,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,1,1
HCP0033,9999000033,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,0,0
HCP0034,9999000034,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,0,0
HCP0036,9999000036,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,0,0
HCP0037,9999000037,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,0,0
HCP0038,9999000038,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,0,0
HCP0039,9999000039,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,0,0
HCP0041,9999000041,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,3,1
HCP0042,9999000042,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,2,2
HCP0043,9999000043,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,1,1
HCP0044,9999000044,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,0,0
HCP0046,9999000046,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,0,0
HCP0047,9999000047,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,0,0
HCP0048,9999000048,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,1,1
HCP0049,9999000049,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,0,0
HCP0051,9999000051,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,0,0
HCP0052,9999000052,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,1,1
HCP0053,9999000053,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,0,0
HCP0054,9999000054,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,0,0
HCP0056,9999000056,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,0,0
HCP0057,9999000057,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,0,0
HCP0058,9999000058,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,1,1
HCP0059,9999000059,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,1,1
HCP0061,9999000061,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,0,0
HCP0062,9999000062,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,0,0
HCP0063,9999000063,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,0,0
HCP0064,9999000064,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,0,0
HCP0066,9999000066,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,0,0
HCP0067,9999000067,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,1,1
HCP0068,9999000068,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,0,0
HCP0069,9999000069,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,0,0
HCP0071,9999000071,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,1,1
HCP0072,9999000072,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,0,0
HCP0073,9999000073,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,0,0
HCP0074,9999000074,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,2,2
HCP0076,9999000076,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,0,0
HCP0077,9999000077,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,0,0
HCP0078,9999000078,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,0,0
HCP0079,9999000079,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,0,0
HCP0081,9999000081,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,0,0
HCP0082,9999000082,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,2,1
HCP0083,9999000083,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,2,1
HCP0084,9999000084,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,1,1
HCP0086,9999000086,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,0,0
HCP0087,9999000087,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,0,0
HCP0088,9999000088,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,2,2
HCP0089,9999000089,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,0,0
HCP0091,9999000091,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,1,1
HCP0092,9999000092,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,1,1
HCP0093,9999000093,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,0,0
HCP0094,9999000094,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,1,1
HCP0096,9999000096,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,1,1
HCP0097,9999000097,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,1,1
HCP0098,9999000098,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,1,1
HCP0099,9999000099,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,0,0
HCP0101,9999000101,2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,0,0
HCP0102,9999000102,2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,1,1
HCP0103,9999000103,2024-07,S-END-01,South District 1,South,Endocrinology,Cash,1,1
HCP0104,9999000104,2024-07,S-END-02,South District 2,South,Endocrinology,Commercial,0,0
HCP0106,9999000106,2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,0,0
HCP0107,9999000107,2024-07,S-END-01,South District 1,South,Endocrinology,Cash,0,0
